-- Query 1 — Revenue by Product Category

"product_category"	"total_orders"	"unique_customers"	"total_gmv"	"avg_order_value"	"total_freight"	"freight_pct_of_gmv"	"avg_review_score"	"pct_of_total_gmv"
"beleza_saude"	8647	8498	1233131.72	130.28	178957.81	14.5	4.19	9.33
"relogios_presentes"	5493	5419	1165898.98	199.06	98118.00	8.4	4.07	8.82
"cama_mesa_banho"	9272	9008	1023434.76	93.44	201774.50	19.7	3.92	7.74
"esporte_lazer"	7529	7340	954673.55	113.25	163389.36	17.1	4.17	7.22
"informatica_acessorios"	6529	6404	888613.62	116.27	143990.03	16.2	3.99	6.72
"moveis_decoracao"	6307	6178	711927.69	87.25	168402.23	23.7	3.95	5.39
"utilidades_domesticas"	5743	5681	615628.69	90.60	142763.56	23.2	4.11	4.66
"cool_stuff"	3559	3543	610204.10	164.12	81476.79	13.4	4.20	4.62
"automotivo"	3809	3768	578849.35	139.85	90470.57	15.6	4.11	4.38
"brinquedos"	3803	3762	471097.49	116.93	75758.95	16.1	4.21	3.56
"ferramentas_jardim"	3448	3420	470495.28	110.24	96650.40	20.5	4.08	3.56
"bebes"	2809	2783	400421.84	134.28	66305.81	16.6	4.08	3.03
"perfumaria"	3086	3050	390144.65	116.81	53026.98	13.6	4.22	2.95
"telefonia"	4093	4047	309860.23	69.95	69342.39	22.4	3.99	2.34
"moveis_escritorio"	1254	1245	268154.31	160.76	67057.05	25.0	3.51	2.03
"papelaria"	2264	2250	223788.69	90.75	45786.36	20.5	4.25	1.69
"pcs"	177	176	218684.14	1098.92	9665.62	4.4	4.22	1.65
"pet_shop"	1688	1667	211695.64	110.03	38918.56	18.4	4.22	1.60
"instrumentos_musicais"	611	607	184315.74	283.13	17871.38	9.7	4.22	1.39
"eletroportateis"	609	606	182754.12	277.74	15354.35	8.4	4.22	1.38
"others"	1392	1386	170726.63	111.08	26969.06	15.8	3.94	1.29
"eletronicos"	2517	2507	155043.93	56.81	45679.16	29.5	4.07	1.17
"fashion_bolsas_e_acessorios"	1820	1757	149329.39	75.23	30558.90	20.5	4.19	1.13
"consoles_games"	1018	1014	148003.37	135.91	19094.36	12.9	4.14	1.12
"construcao_ferramentas_construcao"	736	732	142108.49	155.14	20273.52	14.3	4.09	1.07
"malas_acessorios"	1019	1013	138701.63	128.79	30076.49	21.7	4.35	1.05
"eletrodomesticos_2"	227	222	107953.95	467.33	10254.57	9.5	4.16	0.82
"casa_construcao"	483	483	81407.57	136.59	13614.80	16.7	3.96	0.62
"eletrodomesticos"	747	688	78832.48	104.55	14469.30	18.4	4.23	0.60
"agro_industria_e_comercio"	177	176	70566.10	342.55	5637.20	8.0	4.09	0.53
"moveis_sala"	414	407	67350.70	136.06	17694.37	26.3	3.93	0.51
"casa_conforto"	392	391	58008.45	135.22	8429.77	14.5	3.85	0.44
"telefonia_fixa"	212	212	55315.21	216.92	4501.33	8.1	3.76	0.42
"climatizacao"	246	244	53323.56	184.51	6530.99	12.2	4.05	0.40
"audio"	348	347	50570.60	139.70	5684.72	11.2	3.84	0.38
"portateis_casa_forno_e_cafe"	72	72	46589.56	638.21	2656.34	5.7	4.44	0.35
"moveis_cozinha_area_de_servico_jantar_e_jardim"	241	241	45531.98	166.18	11540.99	25.3	4.03	0.34
"livros_interesse_geral"	495	489	45256.25	84.43	8871.32	19.6	4.51	0.34
"construcao_ferramentas_iluminacao"	242	242	39957.00	132.75	7490.14	18.7	4.08	0.30
"construcao_ferramentas_seguranca"	159	158	38773.22	211.88	3730.80	9.6	3.97	0.29
"industria_comercio_e_negocios"	231	229	38169.81	144.58	7555.29	19.8	4.12	0.29
"alimentos"	441	436	28731.15	57.58	7063.53	24.6	4.26	0.22
"market_place"	274	273	27795.77	91.13	5318.61	19.1	4.07	0.21
"construcao_ferramentas_jardim"	190	187	25096.28	108.17	5187.66	20.7	4.12	0.19
"artes"	195	195	23657.30	120.09	3828.23	16.2	4.08	0.18
"fashion_calcados"	235	234	23001.46	89.50	4813.37	20.9	4.28	0.17
"bebidas"	287	282	21529.84	59.64	5441.27	25.3	4.12	0.16
"sinalizacao_e_seguranca"	138	137	21315.05	108.20	6477.54	30.4	4.09	0.16
"moveis_quarto"	90	86	19051.80	184.97	4327.42	22.7	4.25	0.14
"livros_tecnicos"	256	255	18702.23	71.11	4198.84	22.5	4.39	0.14
"construcao_ferramentas_ferramentas"	97	97	15903.95	154.41	2030.22	12.8	4.44	0.12
"alimentos_bebidas"	221	219	14942.88	55.55	4394.89	29.4	4.36	0.11
"fashion_roupa_masculina"	106	104	10452.33	83.62	2062.62	19.7	3.76	0.08
"fashion_underwear_e_moda_praia"	117	117	9305.95	73.28	1854.07	19.9	4.05	0.07
"artigos_de_natal"	125	125	8737.84	58.25	3190.91	36.5	4.07	0.07
