"seller_id"	"seller_city"	"seller_state"	"total_orders"	"unique_customers"	"categories_sold"	"total_gmv"	"avg_order_value"	"total_freight"	"freight_pct_of_gmv"	"avg_delivery_days"	"avg_review_score"	"late_delivery_pct"
"7178f9f4dd81dcef02f62acdf8151e01"	"SC"	201	36755.50	15.7	4.05	4.7	11.9	"Silver — Average seller"
"ea8482cd71df3c1969d7b9473ff13abc"	"SP"	1126	36408.84	13.3	3.98	10.3	47.2	"Silver — Average seller"
"c70c1b0d8ca86052f45a432a38b73958"	"SP"	258	35958.19	7.7	4.32	8.1	10.8	"Platinum — Elite seller"
"06a2c3af7b3aee5d69171b0e14f0ee87"	"MA"	385	35529.05	17.6	4.02	22.5	33.5	"Silver — Average seller"
"c3867b4666c7d76867627c2f7fb22e21"	"SP"	226	34368.90	15.2	4.02	10.9	13.6	"Silver — Average seller"
"7299e27ed73d2ad986de7f7c77d919fa"	"MG"	335	34107.44	11.3	4.43	4.7	20.0	"Platinum — Elite seller"
"e9bc59e7b60fc3063eb2290deda4cced"	"PR"	209	33543.69	14.6	4.03	12.7	13.5	"Gold — Strong seller"
"1835b56ce799e6a4dc4eddc053f04066"	"SP"	414	32788.38	12.8	3.62	10.6	26.0	"Silver — Average seller"
"dbc22125167c298ef99da25668e1011f"	"MG"	393	32788.22	11.4	4.27	2.4	23.7	"Platinum — Elite seller"
"5c243662ce92d84573bfaff24c3e3700"	"SP"	97	32752.12	10.7	4.13	3.0	5.4	"Gold — Strong seller"
"9c0e69c7bf2619675bbadf47b43f655a"	"SP"	150	32368.59	15.2	4.12	9.6	8.7	"Silver — Average seller"
"2528513dd95219a6013d4d05176e391a"	"SP"	157	31763.20	10.6	3.96	5.5	11.5	"Silver — Average seller"
"0241d4d5d36f10f80c644447315af0bd"	"PR"	237	31317.80	10.9	4.31	5.7	21.8	"Platinum — Elite seller"
"76d5af76d0271110f9af36c92573f765"	"SP"	127	31285.70	11.6	4.10	8.4	12.0	"Gold — Strong seller"
"88460e8ebdecbfecb5f9601833981930"	"PR"	245	31244.15	18.2	3.36	19.4	15.8	"Bronze — At-risk seller"
"70eea00b476a314817cefde4aad4f89a"	"SP"	105	31154.85	13.4	4.38	7.2	8.7	"Gold — Strong seller"
"7681ef142fd2c19048da7430856b5588"	"SP"	57	31095.81	9.9	4.16	9.5	9.1	"Gold — Strong seller"
"87142160b41353c4e5fca2360caf6f92"	"RS"	304	31061.08	10.8	4.36	5.6	23.2	"Platinum — Elite seller"
"e59aa562b9f8076dd550fcddf0e73491"	"PR"	69	30716.30	13.7	4.33	8.5	7.0	"Gold — Strong seller"
"855668e0971d4dfd7bef1b6a4133b41b"	"SP"	296	30313.25	15.9	3.83	13.4	24.4	"Silver — Average seller"
"70a12e78e608ac31179aea7f8422044b"	"SP"	310	29823.53	14.7	3.79	10.9	18.4	"Silver — Average seller"
"53e4c6e0f4312d4d2107a8c9cddf45cd"	"SP"	461	29452.78	12.1	4.08	5.3	32.9	"Gold — Strong seller"
"d23019c84ffae2d5ef2270367b8605fc"	"PR"	39	29205.10	11.3	4.41	2.6	9.4	"Platinum — Elite seller"
"1554a68530182680ad5c8b042c3ab563"	"MG"	244	28617.44	14.0	4.27	6.8	23.3	"Gold — Strong seller"
"0b90b6df587eb83608a64ea8b390cf07"	"PR"	162	28408.76	14.3	4.02	2.9	12.6	"Gold — Strong seller"
"900ba814c251a692506d7834c1218441"	"SP"	84	27826.35	12.3	4.23	13.1	8.2	"Gold — Strong seller"
"59b22a78efb79a4797979612b885db36"	"MG"	124	26985.50	12.5	3.97	12.9	18.0	"Silver — Average seller"
"d1c281d3ae149232351cd8c8cc885f0d"	"SP"	212	26657.63	12.5	3.80	8.9	19.9	"Silver — Average seller"
"b32be1695eb7ec5f10f72d9610a12527"	"RS"	43	26276.00	12.4	4.16	4.5	11.1	"Gold — Strong seller"
"12b9676b00f60f3b700e83af21824c0e"	"RS"	132	26177.00	14.9	4.55	1.5	13.2	"Gold — Strong seller"
"a3a38f4affed601eb87a97788c949667"	"SC"	249	26074.63	12.4	4.40	4.3	19.7	"Gold — Strong seller"
"de23c3b98a88888289c6f5cc1209054a"	"SP"	161	25933.67	10.8	4.31	9.0	10.2	"Platinum — Elite seller"
"9f505651f4a6abe901a56cdc21508025"	"SP"	390	25750.87	8.2	4.31	4.7	23.0	"Platinum — Elite seller"
"7e1fb0a3ebfb01ffb3a7dae98bf3238d"	"SP"	153	25703.53	15.5	4.16	13.2	11.1	"Silver — Average seller"
"16090f2ca825584b5a147ab24aa30c86"	"SP"	396	25495.87	9.3	4.07	10.9	21.1	"Gold — Strong seller"
"a416b6a846a11724393025641d4edd5e"	"SP"	157	24930.24	12.6	4.22	12.5	11.8	"Gold — Strong seller"
"c003204e1ab016dfa150abc119207b24"	"SP"	195	24904.29	9.7	4.44	6.5	18.9	"Platinum — Elite seller"
"1c68394e931a64f90ea236c5ea590300"	"PR"	142	24832.75	15.8	3.93	3.5	11.7	"Silver — Average seller"
"f62d7bb4a613ec758a03342d46b580b2"	"MG"	32	24665.00	13.9	4.38	12.5	8.6	"Gold — Strong seller"
"1900267e848ceeba8fa32d80c1a5f5a8"	"SP"	399	24301.80	12.8	3.87	9.9	32.6	"Silver — Average seller"
"001cca7ae9ae17fb1caed9dfb1094831"	"ES"	192	24177.03	12.9	3.97	5.2	35.4	"Silver — Average seller"
"b94cc9f10ddc85e4ba73a6f7974e7101"	"RJ"	37	24096.30	10.2	4.30	5.4	4.1	"Platinum — Elite seller"
"dc4a0fc896dc34b0d5bfec8438291c80"	"SP"	225	23655.98	13.8	3.82	6.6	19.0	"Silver — Average seller"
"2b3e4a2a3ea8e01938cabda2a3e5cc79"	"SP"	52	23629.15	8.7	4.39	0.0	3.8	"Platinum — Elite seller"
"612170e34b97004b3ba37eae81836b4c"	"RS"	107	23065.02	10.9	4.43	1.8	10.0	"Platinum — Elite seller"
"1a3df491d1c4f1589fc2b934ada68bf2"	"SC"	160	22472.40	15.0	4.25	5.3	18.1	"Gold — Strong seller"
"744dac408745240a2c2528fb1b6028f3"	"PR"	78	22322.60	11.1	4.55	1.2	8.4	"Platinum — Elite seller"
"710e3548e02bc1d2831dfc4f1b5b14d4"	"PR"	130	22259.26	14.1	3.46	3.7	16.6	"Bronze — At-risk seller"
"ff69aa92bb6b1bf9b8b7a51c2ed9cf8b"	"SP"	20	21940.80	11.5	3.65	25.0	8.0	"Silver — Average seller"
"f45122a9ab94eb4f3f8953578bc0c560"	"SP"	184	21764.68	12.5	3.92	7.1	15.1	"Silver — Average seller"
"897060da8b9a21f655304d50fd935913"	"SP"	301	21654.91	14.4	3.47	11.2	29.8	"Bronze — At-risk seller"
"7ad32824caee82087b3e2e5f33b1bf32"	"SP"	144	21545.10	11.1	3.79	11.3	15.9	"Silver — Average seller"
"8444e55c1f13cd5c179851e5ca5ebd00"	"MG"	92	21480.96	21.3	3.16	10.8	9.1	"Bronze — At-risk seller"
"06e5eefc71ec47ae763c5c6f8db7064f"	"RS"	88	21358.69	11.0	3.96	2.2	9.8	"Silver — Average seller"
"7b0df942f46435babab05d49b744b2c4"	"SP"	31	21311.91	11.0	4.39	9.7	3.0	"Platinum — Elite seller"
"05ff92fedb5be47920fea08e501238b9"	"RS"	57	21235.98	12.3	4.28	5.0	8.2	"Gold — Strong seller"
"59fb871bf6f4522a87ba567b42dafecf"	"SP"	123	21178.60	12.1	4.26	6.4	9.5	"Gold — Strong seller"
"8f2ce03f928b567e3d56181ae20ae952"	"SP"	150	21113.30	14.3	4.12	14.0	17.7	"Gold — Strong seller"
"d2374cbcbb3ca4ab1086534108cc3ab7"	"SP"	509	20665.22	14.3	3.69	5.4	45.2	"Silver — Average seller"
